Student ID,Distance Z-score,Distance Min-Max Scaled,Score,Maximum,Score / Maximum %
s8d4c84e9,-0.4650249572340539,0.10578581951120512,239.0,249,0.9598393574297188
s8d573f28,-0.21304907625764255,0.15629346339705177,37.0,110,0.33636363636363636
s8e04666d,-0.5912036453457801,0.0628977071338293,198.0,258,0.7674418604651163
s8e23a7ec,-0.08554267714036676,0.18586890531033556,102.0,164,0.6219512195121951
s8f99f847,-0.22139738817490245,0.15043971756411006,44.0,123,0.35772357723577236
s8fbd5e5e,0.4559305486624586,0.2826429858233078,119.0,239,0.497907949790795
s8ffeca05,0.3012221577288501,0.22885311101337547,221.0,269,0.8215613382899628
s9045d822,0.011168195358239959,0.20050429853981544,215.0,289,0.7439446366782007
s905bfac0,0.7555193786267405,0.3653047715979069,150.0,222,0.6756756756756757
s90bd94fd,-0.39687180870809013,0.10643094718737124,233.0,299,0.7792642140468228
s9113a9e0,1.214894490059893,0.4186862543758269,220.0,264,0.8333333333333334
s91543e75,2.4640791995884754,0.7150906792630606,0.0,58,0.0
s9156a96b,0.9941900206517338,0.38846144170031166,130.0,214,0.6074766355140186
s91687b96,-0.5317197619035987,0.08449097325505395,280.0,294,0.9523809523809523
s91762ccb,-0.26521195051220114,0.147191980873613,224.0,299,0.7491638795986622
s91820e28,-0.12295268510667344,0.15562332717322144,103.0,169,0.6094674556213018
s91c3d400,0.6531403468426331,0.27655669561373764,64.0,141,0.45390070921985815
s92010c48,1.0809812487401693,0.39541210682495914,201.0,214,0.9392523364485982
s9225af5,-0.06983439021750876,0.16481107872657408,172.0,259,0.6640926640926641
s92462351,-0.36244642505887914,0.1124171657308265,278.0,299,0.9297658862876255
s924fe75f,-0.12395412004906024,0.15712262767203608,209.0,259,0.806949806949807
s926b035a,-0.20214167686490436,0.17295996315222262,222.0,244,0.9098360655737705
s926e860a,-0.5891493054069218,0.07565295930579258,178.0,238,0.7478991596638656
s92a7dbbe,0.12890008113014062,0.19525498935353344,3.0,20,0.15
s92dad496,-0.41558291411955944,0.1104027281261293,162.0,194,0.8350515463917526
s9375291a,-0.4029507189414053,0.1055962492749336,271.0,299,0.9063545150501672
s93f556f7,-0.4616395512730897,0.10368859030259311,275.0,299,0.919732441471572
s93f717da,1.0837020736078835,0.38611124077513287,8.0,85,0.09411764705882353
s948b9036,0.3048444942942321,0.2630182673822527,168.0,259,0.6486486486486487
s94ba36bf,-0.20592817179608922,0.15044589643175496,158.0,182,0.8681318681318682
s950bbbc6,-0.23656396036051117,0.14827606311220123,305.0,309,0.9870550161812298
s954e52f8,-0.3105635643100283,0.13545104881636866,224.0,264,0.8484848484848485
s9587c879,1.4668265437772645,0.47133318048738776,272.0,299,0.9096989966555183
s958de8cc,-0.31669345530015774,0.12472520225908446,268.0,294,0.9115646258503401
s95cfced6,-0.5963395855142595,0.06891366592729252,180.0,209,0.861244019138756
s960a6995,-0.1445109493755419,0.12317906314649733,190.0,259,0.7335907335907336
s961604,1.7372460502852822,0.5554849884526558,7.0,17,0.4117647058823529
s9698ce49,1.185216308783592,0.4299406641982855,182.0,274,0.6642335766423357
s974a1cf3,-0.5523820113268144,0.06945524365462764,285.0,299,0.9531772575250836
s974f68fa,-0.3705632790711518,0.11888586210247344,168.0,284,0.5915492957746479
s97a4b67d,-0.45316244830064106,0.10497290824773475,242.0,254,0.952755905511811
s97bf5734,-0.23994759818796185,0.14323827642893963,248.0,264,0.9393939393939394
s97dc5dee,-0.16973408103089502,0.15471086095005324,190.0,234,0.811965811965812
s984ea7cb,1.081846946738156,0.3564552712146966,0.0,20,0.0
s98899bb2,0.3468952630454672,0.2588017387818719,71.0,154,0.461038961038961
s989633cc,0.9330208443480351,0.41479022150607947,9.0,60,0.15
s98f82bf3,0.2259537572645678,0.2530093246679853,3.0,10,0.3
s990f2acd,-0.22805915345189362,0.13456669448777053,269.0,284,0.9471830985915493
s9998135e,-0.04759377765754805,0.18027978688817975,154.0,239,0.6443514644351465
s99e5736a,-0.43903502177370557,0.1110730843502906,241.0,304,0.7927631578947368
s99e97439,1.879004769210719,0.5632364354413157,292.0,304,0.9605263157894737
s9a5dac69,-0.24251942475570365,0.15104121033142848,178.0,184,0.967391304347826
s9a777b2c,-0.2815570722065411,0.12588851494679482,64.0,104,0.6153846153846154
s9aa4d0a9,-0.23610686671935144,0.1337819716015121,151.0,209,0.722488038277512
s9aba1281,-0.35008687087263074,0.10863917699936586,255.0,289,0.8823529411764706
s9ad8fb4d,-0.3121525068900709,0.12456944955166102,72.0,140,0.5142857142857142
s9b16a330,1.4377922923071123,0.456897447833465,247.0,262,0.9427480916030534
s9b4027e1,-0.6969905953795742,0.05090021755482437,298.0,299,0.9966555183946488
s9b4b29a6,-0.2027333809191461,0.1294687945638485,264.0,350,0.7542857142857143
s9b977a97,0.9994658456320565,0.40681201928062305,68.0,174,0.39080459770114945
s9c1d817a,-0.17339258139090083,0.14320681716587536,197.0,252,0.7817460317460317
s9c529b1,-0.04750385732563663,0.19903676992808336,154.0,214,0.719626168224299
s9c914914,0.26706646983094046,0.22954917366637673,57.0,133,0.42857142857142855
s9cf1a686,-0.27357662444570496,0.13859950313600047,123.0,213,0.5774647887323944
s9d0091f1,-0.2003394988756366,0.15696998854835953,242.0,299,0.8093645484949833
s9d03cb46,0.13121681638248853,0.22176704686971732,82.0,209,0.3923444976076555
s9d71abb4,0.13791858605620155,0.20528813259908327,114.0,202,0.5643564356435643
s9d769094,0.20986447156913746,0.22226797610883373,118.0,210,0.5619047619047619
s9e55605,-0.14662416421056856,0.10813407324697924,6.0,20,0.3
s9e8f2e5c,-0.10853438633478604,0.1711298833477372,210.0,249,0.8433734939759037
s9e9b5d15,-0.48147483590356394,0.09392871583108084,219.0,254,0.8622047244094488
s9eace78a,-0.526037081806584,0.07948153914578014,267.0,274,0.9744525547445255
s9ecf59d8,1.4634253178423995,0.476554030355219,24.0,208,0.11538461538461539
s9f24be8b,-0.36160742007426416,0.12464508023523484,215.0,229,0.9388646288209607
s9f2aa566,-0.14830771356719535,0.16661445901582284,221.0,254,0.8700787401574803
s9f5488c7,0.09891174072042618,0.21854778935147381,163.0,180,0.9055555555555556
s9f9a6827,0.5344207782911014,0.2731612406103923,39.0,157,0.2484076433121019
